Fecha,Hora,Parque La Granja-Sta Cruz de TF DD (Grd),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag
16-03-2015,24:00,292,V,1,V,,N,,N,1006,V
17-03-2015,24:00,181,V,3.1,V,,N,,N,1008,V
18-03-2015,24:00,247,V,1.7,V,,N,,N,1006,V
19-03-2015,24:00,248,V,1.8,V,,N,,N,1003,V
20-03-2015,24:00,270,V,1.7,V,,N,,N,999,V
21-03-2015,24:00,269,V,1.8,V,,N,,N,1000,V
22-03-2015,24:00,253,V,2.2,V,,N,,N,998,V
23-03-2015,24:00,226,V,2.2,V,,N,,N,1002,V
24-03-2015,24:00,182,V,2.5,V,,N,,N,1006,V
25-03-2015,24:00,247,V,2.2,V,,N,,N,1008,V
26-03-2015,24:00,203,V,1.4,V,,N,,N,1011,V
27-03-2015,24:00,201,V,0.9,V,,N,,N,1012,V
28-03-2015,24:00,242,V,0.5,V,,N,,N,1012,V
29-03-2015,24:00,135,V,1.6,V,,N,,N,1012,V
30-03-2015,24:00,248,V,0.4,V,,N,,N,1013,V
31-03-2015,24:00,152,V,1.1,V,,N,,N,1011,V
01-04-2015,24:00,289,V,0.5,V,,N,,N,1008,V
02-04-2015,24:00,179,V,2,V,17,V,,N,1006,V
03-04-2015,24:00,292,V,2,V,17,V,,N,1003,V
04-04-2015,24:00,289,V,2.2,V,17.4,V,,N,1002,V
05-04-2015,24:00,250,V,2.2,V,17.7,V,,N,1002,V
06-04-2015,24:00,264,V,1.4,V,17.2,V,,N,1001,V
07-04-2015,24:00,312,V,1.1,V,16.8,V,,N,1001,V
08-04-2015,24:00,293,V,1.3,V,17.1,V,,N,1005,V
09-04-2015,24:00,289,V,0.9,V,17.7,V,,N,1008,V
10-04-2015,24:00,219,V,1.7,V,17.8,V,,N,1009,V
11-04-2015,24:00,136,V,1.8,V,17.7,V,,N,1008,V
12-04-2015,24:00,269,V,1.4,V,17.4,V,,N,1005,V
13-04-2015,24:00,180,V,2.1,V,17,V,,N,1005,V
14-04-2015,24:00,298,V,2.1,V,17.2,V,,N,1004,V
15-04-2015,24:00,241,V,2.5,V,18.1,V,,N,1006,V
16-04-2015,24:00,251,V,0.8,V,18.4,V,,N,1006,V
