Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag
03-04-2015,24:00,4,V,0.4,V,15,V,15,V,15,V
04-04-2015,24:00,2,V,0.4,V,6,V,8,V,4,V
05-04-2015,24:00,2,V,0.4,V,6,V,7,V,5,V
06-04-2015,24:00,2,V,0.4,V,11,V,5,V,9,V
07-04-2015,24:00,2,V,0.4,V,15,V,3,V,15,V
08-04-2015,24:00,2,V,0.4,V,20,V,3,V,20,V
09-04-2015,24:00,3,V,0.4,V,14,V,3,V,14,V
10-04-2015,24:00,2,V,0.4,V,11,V,,N,9,V
11-04-2015,24:00,2,V,0.4,V,12,V,,N,11,V
12-04-2015,24:00,2,V,0.4,V,9,V,,N,8,V
13-04-2015,24:00,2,V,0.4,V,18,V,,N,17,V
14-04-2015,24:00,2,V,0.4,V,9,V,,N,8,V
15-04-2015,24:00,2,V,0.4,V,8,V,,N,6,V
16-04-2015,24:00,2,V,0.4,V,10,V,,N,9,V
17-04-2015,24:00,3,V,0.4,V,13,V,,N,13,V
18-04-2015,24:00,2,V,0.4,V,7,V,,N,6,V
19-04-2015,24:00,2,V,0.4,V,6,V,,N,5,V
20-04-2015,24:00,2,V,0.4,V,9,V,,N,8,V
21-04-2015,24:00,2,V,0.4,V,9,V,,N,7,V
22-04-2015,24:00,3,V,0.4,V,15,V,,N,16,V
23-04-2015,24:00,2,V,0.4,V,17,V,,N,17,V
24-04-2015,24:00,4,V,0.5,V,33,V,,N,37,V
25-04-2015,24:00,3,V,0.5,V,22,V,,N,22,V
26-04-2015,24:00,6,V,0.4,V,14,V,,N,14,V
27-04-2015,24:00,4,V,0.4,V,21,V,,N,24,V
28-04-2015,24:00,3,V,0.4,V,19,V,,N,20,V
29-04-2015,24:00,3,V,0.5,V,24,V,,N,26,V
30-04-2015,24:00,2,V,0.5,V,29,V,,N,31,V
01-05-2015,24:00,3,V,0.4,V,24,V,,N,24,V
02-05-2015,24:00,5,V,0.5,V,31,V,,N,34,V
03-05-2015,24:00,4,V,0.4,V,18,V,,N,17,V
04-05-2015,24:00,3,V,0.5,V,17,V,,N,17,V
