Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
24-03-2015,24:00,2,V,104,V,0.1,V,0.2,V,0.1,V
25-03-2015,24:00,2,V,103,V,0.1,V,0.1,V,0.1,V
26-03-2015,24:00,3,V,99,V,0.1,V,0.2,V,0.1,V
27-03-2015,24:00,3,V,82,V,0.1,V,0.2,V,0.2,V
28-03-2015,24:00,4,V,67,V,0.1,V,0.2,V,0.2,V
29-03-2015,24:00,4,V,69,V,0.1,V,0.2,V,0.2,V
30-03-2015,24:00,5,V,49,V,0.2,V,0.4,V,0.5,V
31-03-2015,24:00,4,V,44,V,0.7,V,0.8,V,1.5,V
01-04-2015,24:00,4,V,55,V,0.3,V,0.4,V,0.5,V
02-04-2015,24:00,4,V,59,V,0.2,V,0.7,V,0.3,V
03-04-2015,24:00,3,V,67,V,0.1,V,0.5,V,0.2,V
04-04-2015,24:00,2,V,87,V,0.1,V,0.1,V,0.1,V
05-04-2015,24:00,2,V,94,V,0.1,V,0.1,V,0.1,V
06-04-2015,24:00,1,V,84,V,0.1,V,0.1,V,0.1,V
07-04-2015,24:00,1,V,81,V,0.2,V,0.3,V,0.3,V
08-04-2015,24:00,1,V,78,V,0.2,V,0.3,V,0.4,V
09-04-2015,24:00,1,V,81,V,0.2,V,0.3,V,0.3,V
10-04-2015,24:00,,N,82,V,0.1,V,0.2,V,0.2,V
11-04-2015,24:00,,N,85,V,0.1,V,0.2,V,0.1,V
12-04-2015,24:00,,N,90,V,0.1,V,0.1,V,0.1,V
13-04-2015,24:00,,N,78,V,0.2,V,0.4,V,0.3,V
14-04-2015,24:00,,N,70,V,0.1,V,0.2,V,0.1,V
15-04-2015,24:00,,N,61,V,0.1,V,0.1,V,0.1,V
16-04-2015,24:00,,N,63,V,0.3,V,0.2,V,0.7,V
17-04-2015,24:00,,N,64,V,0.1,V,0.2,V,0.2,V
18-04-2015,24:00,,N,67,V,0.1,V,0.1,V,0.1,V
19-04-2015,24:00,,N,63,V,0.1,V,0.1,V,0.1,V
20-04-2015,24:00,,N,59,V,0.1,V,0.1,V,0.1,V
21-04-2015,24:00,,N,59,V,0.1,V,0.2,V,0.2,V
22-04-2015,24:00,,N,57,V,0.2,V,0.2,V,0.4,V
23-04-2015,24:00,,N,48,V,0.2,V,0.3,V,0.5,V
24-04-2015,24:00,,N,33,V,0.3,V,0.8,V,0.5,V
25-04-2015,24:00,,N,27,V,0.2,V,0.6,V,0.4,V
26-04-2015,24:00,,N,41,V,0.1,V,0.3,V,0.1,V
27-04-2015,24:00,,N,37,V,0.2,V,0.2,V,0.5,V
28-04-2015,24:00,,N,50,V,0.5,V,0.3,V,1,V
29-04-2015,24:00,,N,45,V,0.1,V,0.2,V,0.2,V
30-04-2015,24:00,,N,41,V,0.3,V,0.3,V,0.6,V
01-05-2015,24:00,,N,38,V,0.2,V,0.6,V,0.5,V
02-05-2015,24:00,,N,41,V,0.5,V,1.6,V,1,V
03-05-2015,24:00,,N,46,V,0.1,V,0.5,V,0.3,V
04-05-2015,24:00,,N,37,V,0.2,V,0.6,V,0.3,V
05-05-2015,24:00,,N,45,V,0.1,V,0.3,V,0.2,V
06-05-2015,24:00,,N,47,V,0.2,V,0.2,V,0.3,V
07-05-2015,24:00,,N,40,V,0.3,V,0.8,V,0.7,V
08-05-2015,24:00,,N,49,V,0.2,V,0.2,V,0.3,V
09-05-2015,24:00,,N,48,V,0.2,V,0.2,V,0.3,V
10-05-2015,24:00,,N,48,V,0.2,V,0.3,V,0.4,V
11-05-2015,24:00,,N,,N,,N,,N,,N
12-05-2015,24:00,,N,35,V,1.1,V,2.8,V,2.5,V
13-05-2015,24:00,,N,34,V,0.9,V,2.4,V,2.1,V
14-05-2015,24:00,,N,44,V,0.8,V,1.3,V,1.7,V
15-05-2015,24:00,,N,61,V,0.4,V,0.6,V,0.8,V
16-05-2015,24:00,,N,63,V,0.2,V,0.5,V,0.5,V
17-05-2015,24:00,,N,76,V,0.1,V,0.4,V,0.2,V
18-05-2015,24:00,,N,68,V,0.1,V,0.1,V,0.2,V
19-05-2015,24:00,,N,62,V,0.2,V,0.2,V,0.3,V
20-05-2015,24:00,,N,81,V,0.1,V,0.1,V,0.1,V
21-05-2015,24:00,,N,,N,,N,,N,,N
22-05-2015,24:00,,N,,N,,N,,N,,N
23-05-2015,24:00,,N,86,V,0.1,V,0.1,V,0.1,V
24-05-2015,24:00,,N,64,V,0.1,V,0.1,V,0.1,V
25-05-2015,24:00,,N,55,V,0.1,V,0.1,V,0.1,V
26-05-2015,24:00,,N,55,V,0.2,V,0.3,V,0.3,V
27-05-2015,24:00,,N,59,V,0.1,V,0.1,V,0.1,V
28-05-2015,24:00,,N,61,V,0.1,V,0.1,V,0.1,V
29-05-2015,24:00,,N,54,V,0.2,V,0.2,V,0.3,V
30-05-2015,24:00,,N,58,V,0.1,V,0.1,V,0.1,V
31-05-2015,24:00,,N,62,V,0.1,V,0.1,V,0.1,V
01-06-2015,24:00,,N,50,V,0.1,V,0.1,V,0.1,V
02-06-2015,24:00,,N,39,V,0.1,V,0.1,V,0.1,V
03-06-2015,24:00,,N,47,V,0.1,V,0.2,V,0.2,V
04-06-2015,24:00,,N,46,V,0.1,V,0.2,V,0.2,V
05-06-2015,24:00,,N,45,V,0.1,V,0.1,V,0.1,V
06-06-2015,24:00,,N,49,V,0.1,V,0.1,V,0.1,V
07-06-2015,24:00,,N,47,V,0.1,V,0.2,V,0.1,V
08-06-2015,24:00,,N,43,V,0.2,V,0.3,V,0.4,V
09-06-2015,24:00,,N,56,V,0.7,V,0.5,V,1.5,V
10-06-2015,24:00,,N,57,V,0.1,V,0.2,V,0.2,V
11-06-2015,24:00,,N,49,V,0.2,V,0.3,V,0.3,V
12-06-2015,24:00,,N,44,V,0.2,V,0.4,V,0.4,V
13-06-2015,24:00,,N,49,V,0.2,V,0.4,V,0.4,V
14-06-2015,24:00,,N,67,V,0.1,V,0.1,V,0.1,V
15-06-2015,24:00,,N,63,V,0.1,V,0.1,V,0.1,V
16-06-2015,24:00,,N,72,V,0.7,V,0.5,V,1.5,V
17-06-2015,24:00,,N,80,V,0.1,V,0.1,V,0.2,V
18-06-2015,24:00,,N,80,V,0.1,V,0.1,V,0.2,V
19-06-2015,24:00,,N,84,V,0.1,V,0.2,V,0.2,V
20-06-2015,24:00,,N,82,V,0.2,V,0.6,V,0.3,V
21-06-2015,24:00,,N,76,V,0.1,V,0.5,V,0.3,V
22-06-2015,24:00,,N,72,V,0.1,V,0.1,V,0.1,V
23-06-2015,24:00,,N,52,V,0.3,V,0.2,V,0.6,V
24-06-2015,24:00,,N,46,V,0.1,V,0.1,V,0.2,V
25-06-2015,24:00,,N,43,V,0.1,V,0.2,V,0.2,V
26-06-2015,24:00,,N,36,V,0.1,V,0.1,V,0.1,V
27-06-2015,24:00,,N,54,V,0.1,V,0.1,V,0.1,V
28-06-2015,24:00,,N,58,V,0.2,V,0.5,V,0.4,V
29-06-2015,24:00,,N,43,V,0.4,V,1,V,0.8,V
30-06-2015,24:00,,N,46,V,0.5,V,0.7,V,1.2,V
01-07-2015,24:00,,N,44,V,0.2,V,0.2,V,0.3,V
02-07-2015,24:00,,N,36,V,0.2,V,0.2,V,0.4,V
03-07-2015,24:00,,N,51,V,0.1,V,0.2,V,0.2,V
04-07-2015,24:00,,N,62,V,0.1,V,0.2,V,0.2,V
05-07-2015,24:00,,N,57,V,0.1,V,0.1,V,0.1,V
06-07-2015,24:00,,N,51,V,0.2,V,0.4,V,0.4,V
07-07-2015,24:00,,N,42,V,0.9,V,1.3,V,2,V
08-07-2015,24:00,,N,46,V,0.4,V,1.1,V,0.9,V
09-07-2015,24:00,,N,27,V,0.8,V,2.2,V,1.8,V
10-07-2015,24:00,,N,25,V,1.1,V,1.5,V,2.5,V
