Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
23-01-2016,24:00,3,V,0.3,V,0.4,V,0.3,V,0.6,V
24-01-2016,24:00,10,V,0.3,V,0.5,V,0.4,V,0.9,V
25-01-2016,24:00,13,V,0.3,V,0.6,V,0.6,V,1.3,V
26-01-2016,24:00,9,V,0.5,V,0.8,V,0.9,V,2,V
27-01-2016,24:00,8,V,0.4,V,0.5,V,0.5,V,1.2,V
28-01-2016,24:00,5,V,0.4,V,0.5,V,0.4,V,1,V
29-01-2016,24:00,4,V,0.4,V,0.4,V,0.2,V,0.4,V
30-01-2016,24:00,5,V,0.4,V,0.3,V,0.1,V,0.1,V
31-01-2016,24:00,5,V,0.4,V,0.3,V,0.1,V,0.2,V
01-02-2016,24:00,7,V,0.5,V,0.5,V,0.3,V,0.6,V
02-02-2016,24:00,7,V,0.5,V,0.6,V,0.5,V,1.1,V
03-02-2016,24:00,6,V,0.4,V,0.5,V,0.5,V,1.1,V
04-02-2016,24:00,5,V,0.4,V,0.4,V,0.3,V,0.7,V
05-02-2016,24:00,4,V,0.4,V,0.4,V,0.3,V,0.7,V
06-02-2016,24:00,4,V,0.4,V,0.3,V,0.1,V,0.3,V
07-02-2016,24:00,5,V,0.4,V,0.4,V,0.3,V,0.5,V
08-02-2016,24:00,4,V,0.4,V,0.4,V,0.3,V,0.6,V
09-02-2016,24:00,4,V,0.4,V,0.3,V,0.3,V,0.6,V
10-02-2016,24:00,4,V,0.4,V,0.3,V,0.3,V,0.7,V
11-02-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.2,V
12-02-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.2,V
13-02-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.2,V
14-02-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
15-02-2016,24:00,5,V,0.3,V,0.2,V,0.1,V,0.1,V
16-02-2016,24:00,4,V,0.3,V,0.2,V,0.1,V,0.1,V
17-02-2016,24:00,4,V,0.4,V,0.3,V,0.1,V,0.1,V
18-02-2016,24:00,2,V,0.4,V,0.3,V,0.1,V,0.1,V
19-02-2016,24:00,1,V,0.3,V,0.2,V,0.1,V,0.1,V
20-02-2016,24:00,2,V,0.4,V,0.3,V,0.1,V,0.1,V
21-02-2016,24:00,2,V,0.4,V,0.3,V,0.1,V,0.1,V
22-02-2016,24:00,2,V,0.4,V,0.3,V,0.1,V,0.2,V
23-02-2016,24:00,3,V,0.4,V,0.4,V,0.1,V,0.2,V
24-02-2016,24:00,4,V,0.3,V,0.3,V,0.1,V,0.1,V
25-02-2016,24:00,3,V,0.4,V,0.2,V,0.1,V,0.2,V
26-02-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
27-02-2016,24:00,1,V,0.3,V,0.2,V,0.1,V,0.1,V
28-02-2016,24:00,1,V,0.4,V,0.2,V,0.1,V,0.1,V
29-02-2016,24:00,1,V,0.4,V,0.3,V,0.1,V,0.2,V
01-03-2016,24:00,3,V,0.4,V,0.4,V,0.2,V,0.3,V
02-03-2016,24:00,7,V,0.5,V,0.7,V,0.5,V,1.1,V
03-03-2016,24:00,5,V,0.4,V,0.5,V,0.4,V,0.8,V
04-03-2016,24:00,2,V,0.3,V,0.3,V,0.3,V,0.6,V
05-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
06-03-2016,24:00,1,V,0.3,V,0.2,V,0.1,V,0.1,V
07-03-2016,24:00,1,V,0.3,V,0.2,V,0.1,V,0.1,V
08-03-2016,24:00,1,V,0.4,V,0.2,V,0.1,V,0.2,V
09-03-2016,24:00,3,V,0.4,V,0.3,V,0.1,V,0.2,V
10-03-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.2,V
11-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
12-03-2016,24:00,2,V,0.4,V,0.3,V,0.1,V,0.1,V
13-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
14-03-2016,24:00,2,V,0.4,V,0.3,V,0.2,V,0.3,V
15-03-2016,24:00,2,V,0.4,V,0.3,V,0.2,V,0.4,V
16-03-2016,24:00,3,V,0.4,V,0.3,V,0.2,V,0.4,V
17-03-2016,24:00,5,V,0.4,V,0.5,V,0.5,V,1.1,V
18-03-2016,24:00,3,V,0.4,V,0.3,V,0.3,V,0.5,V
19-03-2016,24:00,1,V,0.3,V,0.2,V,0.1,V,0.1,V
20-03-2016,24:00,1,V,0.3,V,0.1,V,0.1,V,0.1,V
21-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
22-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
23-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
24-03-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
25-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
26-03-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.1,V
27-03-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.1,V
28-03-2016,24:00,2,V,0.4,V,0.3,V,0.2,V,0.4,V
29-03-2016,24:00,3,V,0.4,V,0.3,V,0.3,V,0.6,V
30-03-2016,24:00,3,V,0.4,V,0.2,V,0.2,V,0.4,V
31-03-2016,24:00,1,V,0.4,V,0.2,V,0.1,V,0.1,V
01-04-2016,24:00,1,V,0.3,V,0.2,V,0.1,V,0.1,V
02-04-2016,24:00,1,V,0.3,V,0.1,V,0.1,V,0.1,V
03-04-2016,24:00,1,V,0.4,V,0.1,V,0.1,V,0.1,V
04-04-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
05-04-2016,24:00,1,V,0.4,V,0.1,V,0.1,V,0.1,V
06-04-2016,24:00,1,V,0.3,V,,N,0.1,V,0.1,V
07-04-2016,24:00,1,V,0.3,V,0.1,V,0.1,V,0.1,V
08-04-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
09-04-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
10-04-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
11-04-2016,24:00,2,V,0.3,V,0.2,V,0.1,V,0.2,V
12-04-2016,24:00,2,V,0.4,V,0.6,V,0.8,V,1.8,V
13-04-2016,24:00,2,V,0.4,V,0.3,V,0.2,V,0.5,V
14-04-2016,24:00,2,V,0.4,V,0.3,V,0.4,V,0.9,V
15-04-2016,24:00,1,V,0.4,V,0.4,V,0.3,V,0.6,V
16-04-2016,24:00,3,V,0.3,V,0.2,V,0.2,V,0.3,V
17-04-2016,24:00,2,V,0.3,V,0.3,V,0.2,V,0.5,V
18-04-2016,24:00,,N,,N,,N,,N,,N
19-04-2016,24:00,3,V,0.3,V,0.2,V,0.2,V,0.3,V
20-04-2016,24:00,3,V,0.4,V,0.3,V,0.2,V,0.3,V
21-04-2016,24:00,3,V,0.4,V,0.3,V,0.2,V,0.3,V
22-04-2016,24:00,3,V,0.5,V,0.4,V,0.4,V,0.8,V
23-04-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.1,V
24-04-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
25-04-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
26-04-2016,24:00,3,V,0.4,V,0.2,V,0.3,V,0.6,V
27-04-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.2,V
28-04-2016,24:00,3,V,0.4,V,0.3,V,0.2,V,0.3,V
29-04-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.2,V
30-04-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.1,V
01-05-2016,24:00,4,V,0.4,V,0.1,V,0.1,V,0.1,V
