Fecha,Hora,Depósito Tristán-Sta Cruz de TF O3 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF CO (mg/m³),Flag,Depósito Tristán-Sta Cruz de TF BEN (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF TOL (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF XIL (µg/m³),Flag
17-10-2015,24:00,75,V,0.1,V,0.2,V,0.5,V,0.6,V
18-10-2015,24:00,74,V,0.1,V,0.1,V,0.4,V,0.3,V
19-10-2015,24:00,79,V,0.1,V,0.2,V,0.5,V,0.4,V
20-10-2015,24:00,70,V,0.2,V,0.3,V,1.1,V,0.9,V
21-10-2015,24:00,63,V,0.4,V,0.5,V,2.3,V,2,V
22-10-2015,24:00,53,V,0.5,V,0.5,V,3.5,V,3.2,V
23-10-2015,24:00,49,V,0.1,V,0.3,V,2,V,1.9,V
24-10-2015,24:00,53,V,0.2,V,0.3,V,1.9,V,1.3,V
25-10-2015,24:00,68,V,0.1,V,0.1,V,0.3,V,0.3,V
26-10-2015,24:00,60,V,0.2,V,0.3,V,1.1,V,1,V
27-10-2015,24:00,47,V,0.3,V,0.3,V,1.5,V,1.2,V
28-10-2015,24:00,51,V,0.3,V,0.3,V,1.1,V,1.1,V
29-10-2015,24:00,57,V,0.3,V,0.3,V,1,V,1.1,V
30-10-2015,24:00,49,V,0.3,V,0.3,V,2,V,1.8,V
31-10-2015,24:00,71,V,0.3,V,0.1,V,0.4,V,0.3,V
01-11-2015,24:00,74,V,0.3,V,0.1,V,0.2,V,0.3,V
02-11-2015,24:00,59,V,0.4,V,0.2,V,0.9,V,1,V
03-11-2015,24:00,46,V,0.4,V,0.4,V,2,V,1.9,V
04-11-2015,24:00,37,V,0.5,V,0.5,V,2.8,V,2.4,V
05-11-2015,24:00,46,V,0.5,V,0.4,V,5.9,V,2.4,V
06-11-2015,24:00,40,V,0.3,V,0.2,V,1.7,V,1.4,V
07-11-2015,24:00,47,V,0.3,V,0.2,V,0.7,V,0.6,V
08-11-2015,24:00,45,V,0.4,V,0.3,V,1.7,V,1.7,V
09-11-2015,24:00,38,V,0.4,V,0.5,V,3.5,V,4,V
10-11-2015,24:00,34,V,0.5,V,0.8,V,7.1,V,5.2,V
11-11-2015,24:00,29,V,0.3,V,0.4,V,3.7,V,3,V
12-11-2015,24:00,44,V,0.3,V,0.4,V,3.1,V,2.9,V
13-11-2015,24:00,66,V,0.3,V,0.3,V,2.2,V,0.9,V
14-11-2015,24:00,67,V,0.2,V,0.4,V,1.6,V,1.6,V
15-11-2015,24:00,59,V,0.4,V,0.5,V,2.1,V,2,V
16-11-2015,24:00,48,V,0.4,V,0.5,V,3.7,V,2.4,V
17-11-2015,24:00,62,V,0.3,V,0.2,V,6.2,V,0.3,V
18-11-2015,24:00,74,V,0.2,V,0.3,V,4.2,V,0.4,V
19-11-2015,24:00,70,V,0.3,V,0.5,V,1.8,V,0.5,V
20-11-2015,24:00,56,V,0.5,V,0.5,V,2.7,V,0.6,V
21-11-2015,24:00,74,V,0.3,V,0.2,V,0.8,V,0.3,V
22-11-2015,24:00,80,V,0.3,V,0.1,V,0.1,V,0.1,V
23-11-2015,24:00,82,V,0.3,V,0.2,V,0.2,V,0.1,V
24-11-2015,24:00,83,V,0.4,V,0.2,V,0.3,V,0.3,V
25-11-2015,24:00,82,V,0.3,V,0.2,V,0.3,V,0.4,V
26-11-2015,24:00,81,V,0.4,V,0.2,V,0.8,V,0.7,V
27-11-2015,24:00,82,V,0.6,V,0.2,V,0.5,V,0.6,V
28-11-2015,24:00,73,V,0.4,V,0.3,V,0.5,V,0.9,V
29-11-2015,24:00,78,V,0.5,V,0.2,V,0.5,V,0.6,V
30-11-2015,24:00,54,V,0.4,V,0.5,V,4.2,V,4.1,V
01-12-2015,24:00,63,V,0.5,V,0.4,V,1.6,V,1.7,V
02-12-2015,24:00,57,V,0.6,V,0.5,V,3.3,V,3.6,V
03-12-2015,24:00,53,V,0.5,V,0.5,V,5.4,V,2.6,V
04-12-2015,24:00,48,V,0.5,V,0.6,V,4.1,V,2.5,V
05-12-2015,24:00,49,V,0.5,V,0.5,V,2.6,V,2.5,V
06-12-2015,24:00,56,V,0.7,V,0.4,V,2.4,V,2.1,V
07-12-2015,24:00,43,V,0.8,V,0.8,V,5.5,V,4.3,V
08-12-2015,24:00,53,V,0.4,V,0.3,V,1.5,V,1.3,V
09-12-2015,24:00,60,V,0.4,V,0.4,V,1.7,V,1.7,V
10-12-2015,24:00,,N,,N,,N,,N,,N
11-12-2015,24:00,,N,,N,,N,,N,,N
12-12-2015,24:00,48,V,0.7,V,0.6,V,2.7,V,1.2,V
13-12-2015,24:00,48,V,0.8,V,0.4,V,1.9,V,1,V
14-12-2015,24:00,42,V,0.9,V,0.6,V,5.1,V,2.2,V
15-12-2015,24:00,46,V,0.7,V,0.4,V,2.5,V,1.4,V
16-12-2015,24:00,51,V,0.7,V,0.3,V,1.7,V,0.1,V
17-12-2015,24:00,46,V,0.8,V,0.6,V,4.1,V,0.3,V
18-12-2015,24:00,43,V,0.9,V,0.7,V,5.2,V,0.1,V
19-12-2015,24:00,57,V,0.7,V,0.4,V,2.4,V,0.2,V
20-12-2015,24:00,76,V,0.6,V,0.1,V,0.4,V,0.1,V
