Fecha,Hora,Depósito Tristán-Sta Cruz de TF O3 (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF CO (mg/m³),Flag,Depósito Tristán-Sta Cruz de TF BEN (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF TOL (µg/m³),Flag,Depósito Tristán-Sta Cruz de TF XIL (µg/m³),Flag
21-12-2015,24:00,79,V,0.5,V,0.1,V,0.4,V,0.1,V
22-12-2015,24:00,65,V,0.7,V,0.2,V,1.3,V,1.3,V
23-12-2015,24:00,49,V,0.7,V,0.4,V,3.1,V,8.8,V
24-12-2015,24:00,59,V,0.7,V,0.4,V,3,V,2.9,V
25-12-2015,24:00,63,V,0.7,V,0.4,V,2,V,2,V
26-12-2015,24:00,68,V,0.7,V,0.1,V,0.1,V,0.1,V
27-12-2015,24:00,66,V,0.8,V,0.1,V,0.1,V,0.1,V
28-12-2015,24:00,49,V,0.5,V,0.3,V,1.5,V,1.6,V
29-12-2015,24:00,42,V,0.6,V,0.5,V,3.9,V,4,V
30-12-2015,24:00,45,V,0.8,V,0.6,V,3.8,V,3.1,V
31-12-2015,24:00,46,V,0.7,V,0.5,V,2.8,V,2.4,V
